palavra,contador
ect,13908
com,8882
subject,8063
hou,7289
enron,6555
resource,5482
left,5309
blank,5209
apple,5204
bcc,5180
mac,5179
intentionally,5175
chrome,5174
fork,5174
quarantine,5174
attr,5172
deal,3635
please,3200
gas,3036
meter,2716
hpl,2318
daren,1901
thanks,1898
need,1846
corp,1776
volume,1690
know,1611
day,1549
price,1518
new,1437
company,1432
may,1384
mmbtu,1349
get,1321
forwarded,1297
http,1242
see,1211
let,1183
contract,1169
farmer,1156
information,1155
change,1147
time,1109
month,1098
attached,1097
would,1078
message,1042
xl,1020
sale,995
one,988
mail,919
question,905
robert,904
email,889
sitara,861
ticket,847
nom,832
texas,827
energy,807
service,807
nomination,802
call,790
sent,775
number,768
also,764
www,756
pec,752
file,751
ena,732
flow,723
report,713
bob,710
production,703
product,689
want,689
like,662
net,661
following,651
business,638
system,636
contact,634
order,612
make,606
back,601
daily,586
statement,584
list,578
per,578
could,577
well,569
work,566
gary,564
mary,558
original,557
take,554
purchase,553
delivery,547
march,546
stock,546
july,529
april,528
help,528
today,526
first,523
week,519
font,517
inc,517
free,515
year,513
plant,510
effective,508
forward,507
rate,499
line,493
issue,486
use,484
security,472
set,469
name,464
melissa,462
customer,461
agreement,459
houston,456
fuel,453
group,453
teco,444
oil,441
vance,441
click,437
office,431
tenaska,431
within,431
point,428
june,427
america,426
next,424
look,423
offer,423
january,419
last,419
nbsp,418
george,417
market,417
north,414
transport,409
date,406
ami,403
request,400
thank,400
management,399
smith,399
pat,398
think,397
available,392
julie,392
less,391
two,391
based,388
send,386
show,386
desk,383
pipeline,380
term,380
activity,379
account,378
jackie,376
best,370
due,370
phone,367
looking,366
height,365
high,364
note,362
address,361
made,361
total,360
aimee,357
investment,357
pill,357
problem,356
money,355
noms,354
online,352
lisa,349
mark,349
hour,347
tap,345
fax,343
michael,343
team,341
process,340
david,339
friday,338
october,338
future,336
give,336
susan,336
link,335
august,332
size,331
actuals,330
hsc,330
find,325
home,323
meeting,323
transaction,323
cotten,321
john,319
taylor,319
currently,315
special,315
megan,312
many,311
internet,310
people,310
steve,309
chokshi,308
width,307
fee,305
risk,305
still,305
check,304
september,304
sure,304
good,303
tom,299
fyi,298
receive,298
right,298
duke,297
actual,296
info,294
said,294
december,292
end,292
going,292
hplc,292
november,291
site,291
feb,290
supply,290
place,289
since,288
wellhead,287
without,286
cost,285
monday,285
february,284
spot,284
plan,283
center,282
global,279
state,279
way,278
clynes,276
million,275
pay,274
window,274
eastrans,273
manager,273
come,271
save,271
graf,270
lloyd,270
buy,268
utility,268
keep,267
counterparty,266
brian,265
copy,265
jan,265
news,265
received,264
review,264
employee,263
invoice,263
unify,263
trading,262
allocation,261
aol,260
additional,259
young,259
software,258
data,257
visit,255
natural,252
update,252
revised,251
trade,251
lee,250
project,249
control,248
estimate,247
provide,247
able,246
current,246
result,245
put,244
must,243
computron,242
great,242
party,242
support,242
align,241
detail,241
operation,241
path,241
position,241
reply,241
world,241
section,240
access,239
every,239
demand,238
thursday,238
much,237
part,236
share,235
txu,235
development,234
entered,233
marketing,233
performance,233
created,231
done,231
needed,231
start,231
continue,230
meyers,229
prior,229
howard,227
form,226
long,226
microsoft,226
hank,225
international,225
technology,225
hplno,224
james,224
rita,222
thing,222
act,221
even,221
increase,221
lannou,221
program,221
dec,219
dollar,219
via,219
web,219
field,218
power,218
stop,218
tuesday,218
option,217
possible,217
believe,216
however,216
used,215
correct,214
face,214
regarding,214
create,211
color,209
professional,209
using,209
sell,208
someone,207
content,206
thru,206
type,206
pop,205
say,205
period,204
corporation,202
user,202
doc,201
error,201
fact,201
mike,201
read,201
soon,201
add,200
border,200
financial,200
interest,200
buyback,199
firm,199
low,199
pefs,198
enronxgate,197
paid,197
remove,197
spreadsheet,196
weissman,196
allen,195
cec,195
gc,195
katherine,195
move,194
anything,193
notice,193
wynne,193
camp,192
index,192
another,191
carlos,191
either,191
include,191
payment,191
allocated,190
family,190
feel,190
hplo,190
href,190
jones,190
pipe,190
pricing,190
event,189
scheduled,189
book,188
gathering,188
advice,186
letter,186
iferc,185
zero,185
three,184
viagra,184
getting,183
including,182
revision,182
logistics,181
old,180
page,180
working,180
image,179
top,179
imbalance,178
source,178
wednesday,178
anita,177
tax,177
accounting,176
website,176
swing,175
area,174
equistar,174
better,173
full,173
application,172
got,172
amount,171
fred,171
item,171
regard,171
release,171
city,170
partner,170
sherlyn,170
location,169
storage,169
thought,169
adobe,168
flowed,168
survey,168
follow,167
life,167
scheduling,167
already,166
entex,166
katy,166
operating,166
charge,165
limited,165
might,165
morning,165
person,165
prescription,165
record,165
provided,164
quality,164
ee,163
past,163
src,163
direct,162
producer,162
scott,162
tess,162
clem,161
agree,160
changed,160
facility,160
love,160
coastal,159
darren,159
hope,159
schedule,159
suite,159
canada,158
communication,158
case,157
little,157
newsletter,157
zone,156
called,155
calpine,155
exchange,155
ray,155
unit,155
valley,155
action,154
availability,154
brenda,154
real,154
try,154
always,153
cover,153
tomorrow,153
yahoo,153
ce,152
cialis,152
industry,152
never,152
stephanie,152
html,151
valid,151
aep,150
around,150
confirm,150
gco,150
midcon,150
server,150
thu,150
advise,149
complete,149
everyone,149
loss,149
opportunity,149
cotton,148
donna,148
ranch,148
reason,148
second,148
solution,148
something,148
united,148
wanted,148
credit,147
donald,147
weekend,147
big,146
effort,146
karen,146
parker,146
stacey,146
acton,144
richard,144
yet,144
anyone,143
cash,143
discussion,143
investor,143
necessary,143
outage,143
property,143
rodriguez,143
unsubscribe,143
watch,143
word,143
bill,142
drug,142
level,142
lst,142
expense,141
follows,141
hotmail,141
lauri,141
med,141
beaumont,140
soft,140
stone,140
asset,139
country,139
cut,139
east,139
requested,139
sept,139
view,139
jim,138
material,138
meet,138
addition,137
computer,137
cornhusker,137
vlt,137
wish,137
beginning,136
box,136
charlie,136
cynthia,136
feedback,136
member,136
shipping,136
carthage,135
cause,135
game,135
open,135
redeliveries,135
clear,134
intended,134
commercial,133
handle,133
owner,133
return,133
shut,133
style,133
victor,133
dave,132
portfolio,132
settlement,132
third,132
thomas,132
version,132
central,131
close,131
document,131
easy,131
enter,131
network,131
president,131
receipt,131
schumack,131
confirmed,130
friend,130
mobil,130
personal,129
basis,128
different,128
exception,128
extended,128
reinhardt,128
several,128
value,128
edward,127
else,127
ken,127
luong,127
small,127
star,127
bank,126
begin,126
ever,126
extend,126
fund,126
jeff,126
title,126
union,126
added,125
night,125
required,125
response,125
updated,125
cheryl,124
feature,124
found,124
channel,123
download,123
important,123
lsk,123
requirement,123
run,123
albrecht,122
herod,122
hplnl,122
investing,122
director,121
head,121
listed,121
methanol,121
remember,121
transfer,121
approval,120
cannot,120
exploration,120
exxon,120
side,120
tell,120
legal,119
man,119
papayoti,119
sorry,119
dow,118
expected,118
mid,118
paliourg,118
probably,118
really,118
bryan,117
dfarmer,117
final,117
monthly,117
password,117
south,117
status,117
lamphier,116
potential,116
pro,116
registered,116
therefore,116
together,116
approximately,115
ask,115
drive,115
late,115
lot,115
mobile,115
private,115
tab,115
valero,115
arrangement,114
growth,114
retail,114
thousand,114
answer,113
department,113
everything,113
impact,113
interested,113
major,113
nominated,113
card,112
cleburne,112
strong,112
talk,112
text,112
trader,112
voip,112
baumbach,111
capital,111
expect,111
health,111
jennifer,111
longer,111
ltd,111
related,111
afternoon,110
code,110
completed,110
guy,110
included,110
janet,110
mailto,110
oasis,110
poorman,110
promotion,110
reserve,110
revenue,110
base,109
concern,109
devon,109
latest,109
matter,109
write,109
china,108
claim,108
coming,108
expectation,108
flash,108
liz,108
play,108
public,108
purpose,108
removed,108
fill,107
general,107
industrial,107
koch,107
track,107
training,107
usa,107
brand,106
eol,106
etc,106
given,106
hesse,106
london,106
neal,106
php,106
physical,106
stack,106
bgcolor,105
dealer,105
doctor,105
duty,105
lsp,105
mean,105
priced,105
ready,105
waha,105
aware,104
confirmation,104
experience,104
kind,104
minute,104
discus,103
mcf,103
mentioned,103
plus,103
short,103
staff,103
stella,103
later,102
profile,102
reference,102
riley,102
told,102
voice,102
browser,101
delivered,101
enrononline,101
enserch,101
hard,101
individual,101
nothing,101
sat,101
sign,101
worldwide,101
apache,100
chance,100
distribution,100
factor,100
pain,100
saving,100
